XTY's ResNet18 starts training!

epoches=200
batch_size=128
weight_decay=0.0

[epoch: 19,  51/391] Loss: 0.263 | Accuracy: 90.748%
[epoch: 19, 101/391] Loss: 0.263 | Accuracy: 90.726%
[epoch: 19, 151/391] Loss: 0.275 | Accuracy: 90.335%
[epoch: 19, 201/391] Loss: 0.275 | Accuracy: 90.322%
[epoch: 19, 251/391] Loss: 0.277 | Accuracy: 90.329%
[epoch: 19, 301/391] Loss: 0.278 | Accuracy: 90.303%
[epoch: 19, 351/391] Loss: 0.278 | Accuracy: 90.267%

Epoch:  20 | @lr=0.100 @momentum=0.9
[epoch: 20,   1/391] Loss: 0.317 | Accuracy: 89.844%
[epoch: 20,  51/391] Loss: 0.256 | Accuracy: 90.778%
[epoch: 20, 101/391] Loss: 0.257 | Accuracy: 90.958%
[epoch: 20, 151/391] Loss: 0.256 | Accuracy: 91.003%
[epoch: 20, 201/391] Loss: 0.258 | Accuracy: 90.920%
[epoch: 20, 251/391] Loss: 0.261 | Accuracy: 90.709%
[epoch: 20, 301/391] Loss: 0.264 | Accuracy: 90.620%
[epoch: 20, 351/391] Loss: 0.264 | Accuracy: 90.690%

Epoch:  21 | @lr=0.100 @momentum=0.9
[epoch: 21,   1/391] Loss: 0.260 | Accuracy: 93.750%
[epoch: 21,  51/391] Loss: 0.240 | Accuracy: 91.483%
[epoch: 21, 101/391] Loss: 0.243 | Accuracy: 91.221%
[epoch: 21, 151/391] Loss: 0.243 | Accuracy: 91.272%
[epoch: 21, 201/391] Loss: 0.245 | Accuracy: 91.247%
[epoch: 21, 251/391] Loss: 0.245 | Accuracy: 91.307%
[epoch: 21, 301/391] Loss: 0.246 | Accuracy: 91.295%
[epoch: 21, 351/391] Loss: 0.247 | Accuracy: 91.297%

Epoch:  22 | @lr=0.100 @momentum=0.9
[epoch: 22,   1/391] Loss: 0.205 | Accuracy: 92.188%
[epoch: 22,  51/391] Loss: 0.224 | Accuracy: 92.172%
[epoch: 22, 101/391] Loss: 0.228 | Accuracy: 91.932%
[epoch: 22, 151/391] Loss: 0.231 | Accuracy: 91.743%
[epoch: 22, 201/391] Loss: 0.229 | Accuracy: 91.807%
[epoch: 22, 251/391] Loss: 0.230 | Accuracy: 91.823%
[epoch: 22, 301/391] Loss: 0.229 | Accuracy: 91.912%
[epoch: 22, 351/391] Loss: 0.230 | Accuracy: 91.874%

Epoch:  23 | @lr=0.100 @momentum=0.9
[epoch: 23,   1/391] Loss: 0.235 | Accuracy: 91.406%
[epoch: 23,  51/391] Loss: 0.191 | Accuracy: 93.122%
[epoch: 23, 101/391] Loss: 0.204 | Accuracy: 92.806%
[epoch: 23, 151/391] Loss: 0.210 | Accuracy: 92.643%
[epoch: 23, 201/391] Loss: 0.209 | Accuracy: 92.584%
[epoch: 23, 251/391] Loss: 0.212 | Accuracy: 92.493%
[epoch: 23, 301/391] Loss: 0.215 | Accuracy: 92.426%
[epoch: 23, 351/391] Loss: 0.215 | Accuracy: 92.359%

Epoch:  24 | @lr=0.100 @momentum=0.9
[epoch: 24,   1/391] Loss: 0.160 | Accuracy: 95.312%
[epoch: 24,  51/391] Loss: 0.198 | Accuracy: 92.923%
[epoch: 24, 101/391] Loss: 0.197 | Accuracy: 92.907%
[epoch: 24, 151/391] Loss: 0.199 | Accuracy: 92.839%
[epoch: 24, 201/391] Loss: 0.200 | Accuracy: 92.914%
[epoch: 24, 251/391] Loss: 0.203 | Accuracy: 92.860%
[epoch: 24, 301/391] Loss: 0.205 | Accuracy: 92.748%
[epoch: 24, 351/391] Loss: 0.205 | Accuracy: 92.746%

Epoch:  25 | @lr=0.100 @momentum=0.9
[epoch: 25,   1/391] Loss: 0.150 | Accuracy: 95.312%
[epoch: 25,  51/391] Loss: 0.184 | Accuracy: 93.689%
[epoch: 25, 101/391] Loss: 0.182 | Accuracy: 93.765%
[epoch: 25, 151/391] Loss: 0.182 | Accuracy: 93.595%
[epoch: 25, 201/391] Loss: 0.186 | Accuracy: 93.497%
[epoch: 25, 251/391] Loss: 0.188 | Accuracy: 93.470%
[epoch: 25, 301/391] Loss: 0.192 | Accuracy: 93.275%
[epoch: 25, 351/391] Loss: 0.193 | Accuracy: 93.254%

Epoch:  26 | @lr=0.100 @momentum=0.9
[epoch: 26,   1/391] Loss: 0.111 | Accuracy: 95.312%
[epoch: 26,  51/391] Loss: 0.164 | Accuracy: 94.194%
[epoch: 26, 101/391] Loss: 0.160 | Accuracy: 94.299%
[epoch: 26, 151/391] Loss: 0.163 | Accuracy: 94.195%
[epoch: 26, 201/391] Loss: 0.170 | Accuracy: 93.882%
[epoch: 26, 251/391] Loss: 0.174 | Accuracy: 93.766%
[epoch: 26, 301/391] Loss: 0.175 | Accuracy: 93.695%
[epoch: 26, 351/391] Loss: 0.178 | Accuracy: 93.619%

Epoch:  27 | @lr=0.100 @momentum=0.9
[epoch: 27,   1/391] Loss: 0.216 | Accuracy: 92.969%
[epoch: 27,  51/391] Loss: 0.147 | Accuracy: 95.052%
[epoch: 27, 101/391] Loss: 0.161 | Accuracy: 94.299%
[epoch: 27, 151/391] Loss: 0.166 | Accuracy: 94.128%
[epoch: 27, 201/391] Loss: 0.168 | Accuracy: 94.003%
